Company Name,Website URL,Contact Number,Location,Industry,Description
Paragon Tax Service,http://paragontax.biz,(279) 688-3482,"Rio Vista, CA 94571",IT Services,"From Business: We handle individual and business tax returns, audit representation, bookkeeping, quarterly returns, and payroll. Our goal is to help small businesses streamline…"
County RV Service Center,https://www.countyrv.com,(619) 440-6688,"10229 Prospect AveSantee, CA 92071",IT Services,"From Business: Get all the repairs you need for your recreational vehicle at County RV Service Center. Locally owned and family operated since 1993, we have the experience to…"
Four Seasons Pool Service,http://www.thebestpoolman.com,(510) 509-1729,"37280 Filbert StreetNewark, CA 94560",IT Services,"From Business: Four Seasons Pool Service, Inc. is a full service company that offers remodeling, maintenance and repair for commercial swimming pools and spas. We take pride in…"
Jane's Answering Service,https://janesansweringservice.com,(831) 296-2718,"201 John St Ste MSalinas, CA 93901",IT Services,"From Business: We handle the high volume of incoming telephone calls that you can't quite handle, but you don't want to hire more personnel. An answering service could be…"
Tree Tech Services,https://www.treetechservices.com,(916) 520-1818,"8609 Weyand AveSacramento, CA 95828",IT Services,"It was a worry free, no hassle experience.   Thank you to Reuben and his entire crew at Tree Tech for being so AWESOME!  Mission complete!"""
Richards Tree Service Inc. - Colusa County,http://www.richardstree.com,(530) 458-4292,"Colusa, CA 95932",IT Services,"Our Mulberry tree has had excellent trimming from Richard's Tree Service for many years.  They are careful, fast, and do great on clean-up!  The crew is knowledgeable and…"
AM PM Appliance Service,https://ampmappliances.com/,(747) 224-2634,"18748 Bryant StNorthridge, CA 91324",IT Services,From Business: AM PM Appliances Service and Repair is a family-owned small business. We are one of Southern California's oldest service and repair companies. Being in business…
Lawyer Referral Service of the Bar Association of N San Diego County,http://www.lawreferral.org,(760) 659-2227,"Vista, CA 92084",IT Services,"The LRS counselors are very helpful and professional!"""
Peter Piper's Plumbing & Drain Cleaning Service,https://www.peterpipersplumbing.com,(707) 318-0008,"818 Olive StSanta Rosa, CA 95407",IT Services,Peter and his team went above and beyond to take care of my plumbing issues.  I had a leak this morning and was taken care of right away.  I am very grateful for Peter Piper's…
Zarco's Professional Tree Service,https://www.zarcosprofessionaltreeservice.com,(831) 277-7246,"25 Camino De TravesiaCarmel Valley, CA 93924",IT Services,"I was extremely pleased with the fact that my requests were listened to and the work was beautifully executed, down to proper trimming and cleanup. He has an excellent…"
"Richard's Tree Service, Inc",http://richardstree.com,(530) 673-7993,"Yuba City, CA 95993",IT Services,"Absolutely skillful, had an overgrown elm tree that needed thinning out- they sculpted it beautifully. As to the crew running the shredder: if there was nothing else to do they…"
Acorn Aboricultural Services Inc,https://www.acornarboricultural.com,(916) 742-7677,"Roseville, CA 95661",IT Services,"From Business: Acorn Arboricultural Services Inc. I.S.A. Certified Arborists and Tree Workers provide Roseville, Placer County & Greater Sacramento area with the highest…"
Franklin's  Service,http://www.franklinsservice.com/,(707) 822-1975,"1903 Heindon RdArcata, CA 95521",IT Services,"Great service, they always try to make repairs affordable- very happy!"""
Reliable Landscape & Tree Service,http://www.reliabletreeserv.com,(714) 984-8518,"18032 Lemon Dr Ste C204Yorba Linda, CA 92886",IT Services,I needed immediate service and the owner came out to give me a quote within a few hours.  He found a crew to trim one tree around telephone and electrical lines and cut down a…
Mid-County Janitorial Services,http://www.midcountyjanitorial.com,(209) 631-7545,"Merced, CA 95341",IT Services,From Business: Mid-County Janitorial Services has been proudly serving Merced and the surrounding area since 1989. We are a commercial and office cleaning company that take…
Arden Village Service Inc At Scott's Corner,http://www.ardenvillageservice.com,(916) 476-8524,"4230 Arden WaySacramento, CA 95864",IT Services,"They are all very honest, reasonable, will tell you what you (only) need to have repaired, and fix it only with your consent. They are also timely with repairs and will beat…"
T & T Truck & Crane Service,http://www.truckandcrane.com,(661) 441-8474,"1600 James RdBakersfield, CA 93308",IT Services,"From Business: T&T Truck and Crane Service is a family owned business since 1969. They are available 24/7 and offer competitive rates. Cranes Services: Hydraulic 15 to 300 Ton,…"
ServiceMaster Anytime,http://www.svma.com,(805) 562-6185,"5569 Ekwill StSanta Barbara, CA 93111",IT Services,"Great company - they are promp, professional, and get the job done quickly. I would highly recommend Service Master for flood cleanup."""
Professional Real Estate Services,http://www.livingriversidecounty.com,(951) 916-4681,"28100 Lakeview AveNuevo, CA 92567",IT Services,"From Business: Finding your dream home is not just about aesthetics, it's also about affordability. I'm here to guide you through the complex process of buying a home,…"
Alameda Roofing Service Inc,http://alamedaroofing.net,(831) 515-6735,"26 San Juan RdRoyal Oaks, CA 95076",IT Services,"From Business: Alameda Roofing Service, Inc. has specialized since 1984 in Residential, Commercial and Industrial Roofing in the Santa Cruz County area. We are committed to…"
Agricultural Pest Control Services,http://www.agpest.com,(858) 536-2999,"9927 Maine AveLakeside, CA 92040",IT Services,I highly recommend AG Pest to any home owner and renters. I called with pest issues. Jr took my call and was extremely nice and set me up with an appointment the same day.…
Team Insurance & Financial Services Inc.,https://teaminsurance.net,(707) 462-5901,"345 North State StreetUkiah, CA 95482",IT Services,"good service  and information"""
DJM Coating Svc,http://www.djmcoatingservices.com,(707) 544-9400,"Santa Rosa, CA 95403",IT Services,From Business: Please Visit Our Website for More Information
Century Service Center,http://quakekare.com,(707) 267-7095,"1739  Tomlinson StreetEureka, CA 95503",IT Services,From Business: For over 40 years Century Mobile Homes and Century Service Center has been serving Eureka CA and the surrounding area of Humboldt County. Longevity like that is…
